NACA 0012 buffer (rustfoil naca4, nside=123) — regenerate: cargo run -p rustfoil-core --example gen_spline_fixtures
  1.00000000  0.00126000
  0.99815388  0.00151873
  0.99480420  0.00198669
  0.99050212  0.00258486
  0.98545005  0.00328330
  0.97976783  0.00406371
  0.97353822  0.00491312
  0.96682333  0.00582156
  0.95967234  0.00678095
  0.95212567  0.00778454
  0.94421744  0.00882657
  0.93597711  0.00990200
  0.92743049  0.01100641
  0.91860053  0.01213583
  0.90950787  0.01328672
  0.90017122  0.01445585
  0.89060771  0.01564029
  0.88083311  0.01683735
  0.87086202  0.01804457
  0.86070807  0.01925966
  0.85038398  0.02048050
  0.83990171  0.02170513
  0.82927255  0.02293169
  0.81850718  0.02415845
  0.80761573  0.02538378
  0.79660783  0.02660614
  0.78549270  0.02782405
  0.77427911  0.02903611
  0.76297551  0.03024098
  0.75158998  0.03143737
  0.74013030  0.03262402
  0.72860396  0.03379973
  0.71701819  0.03496332
  0.70537999  0.03611365
  0.69369611  0.03724957
  0.68197309  0.03837000
  0.67021728  0.03947384
  0.65843485  0.04056001
  0.64663177  0.04162744
  0.63481388  0.04267510
  0.62298685  0.04370192
  0.61115620  0.04470687
  0.59932733  0.04568892
  0.58750548  0.04664703
  0.57569579  0.04758018
  0.56390329  0.04848736
  0.55213289  0.04936755
  0.54038938  0.05021974
  0.52867747  0.05104294
  0.51700177  0.05183616
  0.50536680  0.05259841
  0.49377698  0.05332873
  0.48223666  0.05402615
  0.47075011  0.05468972
  0.45932152  0.05531853
  0.44795501  0.05591165
  0.43665462  0.05646819
  0.42542433  0.05698728
  0.41426806  0.05746808
  0.40318966  0.05790975
  0.39219291  0.05831151
  0.38128157  0.05867258
  0.37045929  0.05899224
  0.35972971  0.05926978
  0.34909640  0.05950453
  0.33856289  0.05969588
  0.32813263  0.05984322
  0.31780907  0.05994603
  0.30759558  0.06000379
  0.29749550  0.06001604
  0.28751212  0.05998238
  0.27764870  0.05990243
  0.26790845  0.05977589
  0.25829454  0.05960248
  0.24881011  0.05938199
  0.23945826  0.05911426
  0.23024206  0.05879917
  0.22116452  0.05843666
  0.21222866  0.05802673
  0.20343743  0.05756941
  0.19479376  0.05706482
  0.18630055  0.05651309
  0.17796068  0.05591443
  0.16977699  0.05526908
  0.16175228  0.05457735
  0.15388933  0.05383959
  0.14619092  0.05305620
  0.13865977  0.05222761
  0.13129857  0.05135432
  0.12411002  0.05043684
  0.11709676  0.04947575
  0.11026143  0.04847166
  0.10360663  0.04742519
  0.09713494  0.04633703
  0.09084894  0.04520787
  0.08475114  0.04403844
  0.07884408  0.04282950
  0.07313024  0.04158180
  0.06761211  0.04029614
  0.06229214  0.03897332
  0.05717276  0.03761414
  0.05225639  0.03621942
  0.04754543  0.03478997
  0.04304226  0.03332661
  0.03874923  0.03183013
  0.03466869  0.03030134
  0.03080296  0.02874101
  0.02715436  0.02714990
  0.02372517  0.02552875
